DATA_DATE,POOL_NAME,POOL_DEPTH_USD,N_UNIQUE_LPERS,N_UNIQUE_PROVIDERS,N_UNIQUE_TAKERAWAYERS
2021-04-11T00:00:00Z,BCH.BCH,171797.83776387438,3,3,0
2021-04-11T00:00:00Z,BNB.BNB,467835.6041438825,3,3,0
2021-04-11T00:00:00Z,BNB.BUSD-BD1,428809.6976477524,3,3,0
2021-04-11T00:00:00Z,BTC.BTC,408839.6387975596,3,3,0
2021-04-11T00:00:00Z,ETH.ETH,557234.1463258911,3,3,0
2021-04-11T00:00:00Z,ETH.SUSHI-0X6B3595068778DD592E39A122F4F5A5CF09C90FE2,3925.273891141522,2,2,0
2021-04-11T00:00:00Z,ETH.USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,129471.08385665517,3,3,0
2021-04-11T00:00:00Z,LTC.LTC,147010.78801005194,4,4,0
2021-04-12T00:00:00Z,BCH.BCH,200929.4408271671,1,1,0
2021-04-12T00:00:00Z,BNB.BNB,881809.0291047413,4,4,1
2021-04-12T00:00:00Z,BNB.BUSD-BD1,447526.9674418715,3,3,0
2021-04-12T00:00:00Z,BTC.BTC,2359958.364432111,6,4,3
2021-04-12T00:00:00Z,ETH.ETH,1554045.6312335234,2,2,0
2021-04-12T00:00:00Z,ETH.SUSHI-0X6B3595068778DD592E39A122F4F5A5CF09C90FE2,8767.175062966631,1,1,0
2021-04-12T00:00:00Z,ETH.USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,1623089.1673784163,1,1,0
2021-04-12T00:00:00Z,LTC.LTC,201167.35374929663,3,2,1
2021-04-13T00:00:00Z,BCH.BCH,240508.87307352957,4,4,0
2021-04-13T00:00:00Z,BNB.BNB,1107134.947690457,58,58,4
2021-04-13T00:00:00Z,BNB.BUSD-BD1,510395.3107160785,12,11,3
2021-04-13T00:00:00Z,BTC.BTC,2722609.828482542,18,18,2
2021-04-13T00:00:00Z,ETH.AAVE-0X7FC66500C84A76AD7E9C93437BFC5AC33E2DDAE9,31038.087858,1,1,0
2021-04-13T00:00:00Z,ETH.ALPHA-0XA1FAA113CBE53436DF28FF0AEE54275C13B40975,57750.129157,2,2,0
2021-04-13T00:00:00Z,ETH.ETH,2048186.6197448603,30,30,2
2021-04-13T00:00:00Z,ETH.PERP-0XBC396689893D065F41BC2C6ECBEE5E0085233447,51335.0910797552,1,1,0
2021-04-13T00:00:00Z,ETH.SNX-0XC011A73EE8576FB46F5E1C5751CA3B9FE0AF2A6F,42643.419038,1,1,0
2021-04-13T00:00:00Z,ETH.SUSHI-0X6B3595068778DD592E39A122F4F5A5CF09C90FE2,1244946.6499694919,1,1,0
2021-04-13T00:00:00Z,ETH.USDT-0XDAC17F958D2EE523A2206206994597C13D831EC7,1772205.052449713,3,3,0
2021-04-13T00:00:00Z,ETH.YFI-0X0BC529C00C6401AEF6D220BE8C6EA1667F6AD93E,34832.45500842818,1,1,0
2021-04-13T00:00:00Z,LTC.LTC,226524.6518033852,14,14,0
2021-04-14T00:00:00Z,BCH.BCH,259279.16234197764,11,11,0
2021-04-14T00:00:00Z,BNB.BNB,1404902.1166963764,79,77,8
2021-04-14T00:00:00Z,BNB.BUSD-BD1,622828.8397578258,18,18,1
2021-04-14T00:00:00Z,BTC.BTC,3434730.709435816,43,43,5
2021-04-14T00:00:00Z,ETH.ALPHA-0XA1FAA113CBE53436DF28FF0AEE54275C13B40975,63450.90796524203,1,1,0
2021-04-14T00:00:00Z,ETH.CREAM-0X2BA592F78DB6436527729929AAF6C908497CB200,30666.03486,1,1,0
2021-04-14T00:00:00Z,ETH.DNA-0XEF6344DE1FCFC5F48C30234C16C1389E8CDC572C,32792.373446754566,1,1,0
2021-04-14T00:00:00Z,ETH.ETH,2407786.872948331,51,51,0
